"","year","party","seats","Other_seats","votes","Total votes","president_party","H_incumbent_party_winner","winner_party","H_incumbent_party","H_incumbent_party_majorvote_pct","UNRATE","GDP_growth_pct","DSPIC_change_pct","unrate_qt_total","DSPIC_change_qt","GDP_growth_qt","UNRATE_change","dem_poll_weighted","rep_poll_weighted","pp_generic_ballot","midterm_pres_party_inc_party","H_incumbent_party_majorseat_pct"
"1",1948,"R",171,17,21613079,49560252,"D",FALSE,"D","R",46.6,3.7,0.111741641,NA,11.5,NA,2.383,0.1,42.8258760107817,38.8210242587601,38.8210242587601,FALSE,0.409090909090909
"2",1950,"D",234,16,20681636,44050445,"D",FALSE,"R","D",49.71,4.2,1.914762965,NA,12.7,NA,44.777,-0.8,49.8664660958112,40.8899560286971,49.8664660958112,TRUE,0.558472553699284
"3",1952,"R",221,19,28860092,61803866,"R",FALSE,"D","R",48.82,3,3.284197752,NA,8.5,NA,84.22,-0.2,46.1215401479857,47.4442312962455,47.4442312962455,FALSE,0.53125
"4",1954,"D",232,7,23223158,45251283,"R",TRUE,"D","D",52.4,5.7,1.956683085,NA,16,NA,52.49,-0.0999999999999996,52.0222862340813,41.9969678593087,52.0222862340813,FALSE,0.542056074766355
"5",1956,"D",234,9,31354867,62457894,"R",TRUE,"D","D",51.25,3.9,1.645929023,NA,12.4,NA,48.144,-0.5,51.7692827232203,41.4839929758206,51.7692827232203,FALSE,0.549295774647887
"6",1958,"D",283,11,24943266,46851436,"R",TRUE,"D","D",54.97,6.7,2.339305355,NA,19.1,NA,70.017,-0.8,55.1963168867269,36.3139332870049,55.1963168867269,FALSE,0.667452830188679
"7",1960,"D",262,5,35060186,65678881,"D",TRUE,"D","D",54.35,6.1,-1.283433959,-0.04223096,18.8,-2.9,-42.02,0.6,55.8047676523838,36.0550694025347,55.8047676523838,FALSE,0.609302325581395
"8",1962,"D",258,5,32713542,62760124,"D",TRUE,"D","D",52.87,5.4,0.328860694,0.886344132,16.6,66.1,11.757,0,56.7402445151566,36.7243342823648,56.7402445151566,TRUE,0.6
"9",1964,"D",295,4,41545599,73565373,"D",TRUE,"D","D",57.27,5.1,0.308892925,1.139399748,14.9,95.1,12.214,0.199999999999999,59.0533202486098,31.1934903500164,59.0533202486098,FALSE,0.68445475638051
"10",1966,"D",248,3,26596037,53199376,"D",TRUE,"D","D",50.86,3.7,0.820372287,1.17161396,11.1,108.7,36.582,-0.0999999999999996,53.7318519913379,39.282835891159,53.7318519913379,TRUE,0.574074074074074
"11",1968,"D",243,0,33395717,66455377,"R",TRUE,"D","D",50.92,3.4,0.393302746,0.77239145,10.2,78.2,18.98,-0.3,49.9302874302874,40.6527241527242,49.9302874302874,FALSE,0.558620689655172
"12",1970,"D",255,0,28921540,54147415,"R",TRUE,"D","D",54.22,5.5,-1.071643538,-0.240105828,17.5,-26.5,-53.466,0.5,52.0263862332696,36.721351179095,52.0263862332696,FALSE,0.586206896551724
"13",1972,"D",242,1,37120058,71254917,"R",TRUE,"D","D",52.82,5.6,1.674461271,4.007773663,16.1,480.5,90.684,0,47.489732661759,39.4769469197985,47.489732661759,FALSE,0.557603686635945
"14",1974,"D",291,0,30089520,52324462,"R",TRUE,"D","D",58.57,6,-0.388141269,-0.135490556,19.8,-17,-21.885,0.5,55.6944619654346,27.7781001639965,55.6944619654346,FALSE,0.668965517241379
"15",1976,"D",292,0,41742193,74256718,"D",TRUE,"D","D",57.19,7.7,0.724846256,0.635137263,23.3,84.7,43.239,-0.0999999999999996,54.0728896571593,30.7617401325267,54.0728896571593,FALSE,0.671264367816092
"16",1978,"D",277,0,29587800,55261245,"D",TRUE,"D","D",54.31,5.8,1.344146379,0.658360765,17.7,94.8,89.258,-0.4,49.7440273037543,28.9115304825002,49.7440273037543,TRUE,0.636781609195402
"17",1980,"D",242,1,39289061,77865321,"R",TRUE,"D","D",51.28,7.5,1.864925127,1.376287083,22.2,202.5,124.741,-0.3,45.9268244769669,36.4079167075926,45.9268244769669,FALSE,0.557603686635945
"18",1982,"D",269,1,35588614,64362196,"R",TRUE,"D","D",56.15,10.4,0.039942463,0.313834606,32,48.5,2.716,0.6,50.3324432576769,35.9070427236315,50.3324432576769,FALSE,0.619815668202765
"19",1984,"D",253,0,43371948,82995246,"R",TRUE,"D","D",52.72,7.4,0.820862811,0.816198216,21.9,140.2,63.092,-0.0999999999999996,46.2944293653871,39.7826030761277,46.2944293653871,FALSE,0.581609195402299
"20",1986,"D",258,0,32758176,59899733,"R",TRUE,"D","D",55.19,7,0.537075736,0.151211603,20.5,27.7,44.382,0,47.3875013752888,40.9783254483442,47.3875013752888,FALSE,0.593103448275862
"21",1988,"D",260,0,43793276,82022316,"R",TRUE,"D","D",54,5.4,1.332495823,0.944619752,16,185,118.478,0,45.4921207518512,37.2620087336244,45.4921207518512,FALSE,0.597701149425287
"22",1990,"D",267,1,33052166,62407173,"R",TRUE,"D","D",54.09,5.9,-0.910379413,-0.854913193,18.4,-175.5,-85.562,0.4,44.9697874457951,39.0830312077913,44.9697874457951,FALSE,0.615207373271889
"23",1992,"D",258,1,48511831,95216606,"D",TRUE,"D","D",52.86,7.3,1.043164688,0.453165192,22.1,97.6,101.531,-0.4,46.0231790310626,36.4192439862543,46.0231790310626,FALSE,0.594470046082949
"24",1994,"D",204,1,32124517,70763202,"D",FALSE,"R","D",46.41,5.8,1.145524445,1.434183451,16.9,322,118.99,-0.3,42.9866611087953,41.3653605669029,42.9866611087953,TRUE,0.470046082949309
"25",1996,"R",226,2,42842236,88217606,"D",FALSE,"D","R",49.84,5.2,1.038381988,0.533086781,16,128,115.229,-0.3,47.5972331475085,41.7060090974384,41.7060090974384,FALSE,0.521939953810624
"26",1998,"D",211,1,31482036,65896772,"D",FALSE,"R","D",49.39,4.5,1.615880229,0.791978658,13.3,209,195.386,0,44.2130911941468,42.5768552390907,44.2130911941468,TRUE,0.486175115207373
"27",2000,"R",221,2,46954281,97226268,"R",TRUE,"R","R",50.23,3.9,0.622889589,0.357007004,11.7,102.3,82.087,-0.1,41.8673597579735,40.3585273305302,40.3585273305302,FALSE,0.510392609699769
"28",2002,"R",229,1,37387921,73449133,"R",TRUE,"R","R",52.55,5.7,0.154822636,0.593750831,17.6,178.7,20.96,-0.0999999999999996,43.2505671220447,42.1452714624187,42.1452714624187,TRUE,0.527649769585253
"29",2004,"R",232,1,55956623,111619190,"R",TRUE,"R","R",51.37,5.5,1.001674112,1.261610028,16.3,404.1,144.892,0,42.7357218683652,46.0618365180467,46.0618365180467,FALSE,0.534562211981567
"30",2006,"R",202,0,35884573,80051355,"R",FALSE,"D","R",45.91,4.4,0.85186523,1.319837047,13.3,444.5,130.56,-0.3,49.8111945972539,37.8364491554482,37.8364491554482,TRUE,0.464367816091954
"31",2008,"D",256,0,65247248,120720320,"D",TRUE,"D","D",55.56,6.5,-2.163811244,0.873665836,20.6,301.8,-339.005,0.7,38.7827075592036,48.2883922134102,38.7827075592036,FALSE,0.588505747126437
"32",2010,"D",193,0,37663261,83583446,"D",FALSE,"R","D",46.53,9.4,0.501902537,0.560184056,28.5,199.9,78.658,0,42.9770243462579,45.4244544634806,42.9770243462579,TRUE,0.44367816091954
"33",2012,"R",234,0,58141241,121136773,"D",FALSE,"D","R",49.39,7.8,0.113873246,2.769555059,23.4,1030.1,18.471,-0.399999999999999,44.2282092693192,43.4682131845544,43.4682131845544,FALSE,0.537931034482759
"34",2014,"D",188,0,35628989,77889271,"D",FALSE,"R","D",47.09,5.7,0.562793738,1.32215198,17.1,512.4,95.94,-0.5,43.262888836914,44.0103912593137,43.262888836914,TRUE,0.432183908045977
"35",2016,"R",241,0,62977862,128377310,"R",TRUE,"R","R",50.5,4.9,0.629298347,0.622963951,14.3,255.1,111.791,0.100000000000001,45.4573893613059,42.0471106697288,42.0471106697288,FALSE,0.554022988505747
"36",2018,"R",199,0,51117086,113985831,"R",FALSE,"D","R",45.65,3.8,0.328321429,0.681127528,11.4,299,61.568,0,46.1021688310608,39.2387461211451,39.2387461211451,TRUE,0.457471264367816
"37",2020,"D",222,0,77430912,152701256,"D",TRUE,"D","D",51.5,6.9,1.460536695,-2.155263447,20.3,-1020.5,309.2,-3.3,48.6136929220441,40.8922391342092,48.6136929220441,FALSE,0.510344827586207
