"","year","winner_party","H_incumbent_party","H_incumbent_party_majorvote_pct","quarter_cycle","UNRATE","GDP_growth_pct","DSPIC_change_pct","unrate_qt_total","DSPIC_change_qt","GDP_growth_qt","UNRATE_change"
"1",1948,"D","R",46.6,4,3.7,0.111741641,NA,11.5,NA,2.383,0.1
"2",1950,"R","D",49.71,4,4.2,1.914762965,NA,12.7,NA,44.777,-0.8
"3",1952,"D","R",48.82,4,3,3.284197752,NA,8.5,NA,84.22,-0.2
"4",1954,"D","D",52.4,4,5.7,1.956683085,NA,16,NA,52.49,-0.0999999999999996
"5",1956,"D","D",51.25,4,3.9,1.645929023,NA,12.4,NA,48.144,-0.5
"6",1958,"D","D",54.97,4,6.7,2.339305355,NA,19.1,NA,70.017,-0.8
"7",1960,"D","D",54.35,4,6.1,-1.283433959,-0.04223096,18.8,-2.9,-42.02,0.6
"8",1962,"D","D",52.87,4,5.4,0.328860694,0.886344132,16.6,66.1,11.757,0
"9",1964,"D","D",57.27,4,5.1,0.308892925,1.139399748,14.9,95.1,12.214,0.199999999999999
"10",1966,"D","D",50.86,4,3.7,0.820372287,1.17161396,11.1,108.7,36.582,-0.0999999999999996
"11",1968,"D","D",50.92,4,3.4,0.393302746,0.77239145,10.2,78.2,18.98,-0.3
"12",1970,"D","D",54.22,4,5.5,-1.071643538,-0.240105828,17.5,-26.5,-53.466,0.5
"13",1972,"D","D",52.82,4,5.6,1.674461271,4.007773663,16.1,480.5,90.684,0
"14",1974,"D","D",58.57,4,6,-0.388141269,-0.135490556,19.8,-17,-21.885,0.5
"15",1976,"D","D",57.19,4,7.7,0.724846256,0.635137263,23.3,84.7,43.239,-0.0999999999999996
"16",1978,"D","D",54.31,4,5.8,1.344146379,0.658360765,17.7,94.8,89.258,-0.4
"17",1980,"D","D",51.28,4,7.5,1.864925127,1.376287083,22.2,202.5,124.741,-0.3
"18",1982,"D","D",56.15,4,10.4,0.039942463,0.313834606,32,48.5,2.716,0.6
"19",1984,"D","D",52.72,4,7.4,0.820862811,0.816198216,21.9,140.2,63.092,-0.0999999999999996
"20",1986,"D","D",55.19,4,7,0.537075736,0.151211603,20.5,27.7,44.382,0
"21",1988,"D","D",54,4,5.4,1.332495823,0.944619752,16,185,118.478,0
"22",1990,"D","D",54.09,4,5.9,-0.910379413,-0.854913193,18.4,-175.5,-85.562,0.4
"23",1992,"D","D",52.86,4,7.3,1.043164688,0.453165192,22.1,97.6,101.531,-0.4
"24",1994,"R","D",46.41,4,5.8,1.145524445,1.434183451,16.9,322,118.99,-0.3
"25",1996,"D","R",49.84,4,5.2,1.038381988,0.533086781,16,128,115.229,-0.3
"26",1998,"R","D",49.39,4,4.5,1.615880229,0.791978658,13.3,209,195.386,0
"27",2000,"R","R",50.23,4,3.9,0.622889589,0.357007004,11.7,102.3,82.087,-0.1
"28",2002,"R","R",52.55,4,5.7,0.154822636,0.593750831,17.6,178.7,20.96,-0.0999999999999996
"29",2004,"R","R",51.37,4,5.5,1.001674112,1.261610028,16.3,404.1,144.892,0
"30",2006,"D","R",45.91,4,4.4,0.85186523,1.319837047,13.3,444.5,130.56,-0.3
"31",2008,"D","D",55.56,4,6.5,-2.163811244,0.873665836,20.6,301.8,-339.005,0.7
"32",2010,"R","D",46.53,4,9.4,0.501902537,0.560184056,28.5,199.9,78.658,0
"33",2012,"D","R",49.39,4,7.8,0.113873246,2.769555059,23.4,1030.1,18.471,-0.399999999999999
"34",2014,"R","D",47.09,4,5.7,0.562793738,1.32215198,17.1,512.4,95.94,-0.5
"35",2016,"R","R",50.5,4,4.9,0.629298347,0.622963951,14.3,255.1,111.791,0.100000000000001
"36",2018,"D","R",45.65,4,3.8,0.328321429,0.681127528,11.4,299,61.568,0
"37",2020,"D","D",51.5,4,6.9,1.460536695,-2.155263447,20.3,-1020.5,309.2,-3.3
